,@_fa,load-date,link,dc:identifier,prism:url,dc:title,dc:creator,prism:publicationName,prism:volume,prism:coverDate,prism:startingPage,prism:doi,openaccess,pii,authors,prism:endingPage
0,true,2021-04-23T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S266627872100012X'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S266627872100012X?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.egycc.2021.100035,https://api.elsevier.com/content/article/pii/S266627872100012X,"Culture, energy and climate sustainability, and smart home technologies: A mixed methods comparison of four countries",Dylan D. Furszyfer Del Rio,Energy and Climate Change,2,2021-12-31,100035,10.1016/j.egycc.2021.100035,True,S266627872100012X,"{'author': [{'$': 'Dylan D. Furszyfer Del Rio'}, {'$': 'Benjamin K. Sovacool'}, {'$': 'Steve Griffiths'}]}",
1,true,2021-03-20T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0301421521000653'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0301421521000653?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.enpol.2021.112196,https://api.elsevier.com/content/article/pii/S0301421521000653,"Knowledge, energy sustainability, and vulnerability in the demographics of smart home technology diffusion",Benjamin K. Sovacool,Energy Policy,153,2021-06-30,112196,10.1016/j.enpol.2021.112196,True,S0301421521000653,"{'author': [{'$': 'Benjamin K. Sovacool'}, {'$': 'Mari Martiskainen'}, {'$': 'Dylan D. Furszyfer Del Rio'}]}",
2,true,2021-09-22T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2214629621003947'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2214629621003947?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.erss.2021.102302,https://api.elsevier.com/content/article/pii/S2214629621003947,"A battle over smart standards: Compatibility, governance, and innovation in home energy management systems and smart meters in the Netherlands",G. Van de Kaa,Energy Research & Social Science,82,2021-12-31,102302,10.1016/j.erss.2021.102302,True,S2214629621003947,"{'author': [{'$': 'G. Van de Kaa'}, {'$': 'S. Stoccuto'}, {'$': 'C. Valladolid Calderón'}]}",
3,true,2021-07-12T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0142061521005974'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0142061521005974?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ijepes.2021.107358,https://api.elsevier.com/content/article/pii/S0142061521005974,Optimal power management framework for smart homes using electric vehicles and energy storage,Ubaid ur Rehman,International Journal of Electrical Power & Energy Systems,134,2022-01-31,107358,10.1016/j.ijepes.2021.107358,False,S0142061521005974,"{'author': [{'$': 'Ubaid ur Rehman'}, {'$': 'Kamran Yaqoob'}, {'$': 'Muhammad Adil Khan'}]}",
4,true,2021-02-05T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1364032121000502'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1364032121000502?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.rser.2021.110755,https://api.elsevier.com/content/article/pii/S1364032121000502,A systematic review of the smart energy conservation system: From smart homes to sustainable smart cities,Hakpyeong Kim,Renewable and Sustainable Energy Reviews,140,2021-04-30,110755,10.1016/j.rser.2021.110755,False,S1364032121000502,"{'author': [{'$': 'Hakpyeong Kim'}, {'$': 'Heeju Choi'}, {'$': 'Taehoon Hong'}]}",
5,true,2021-04-30T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2210670721002584'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2210670721002584?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.scs.2021.102972,https://api.elsevier.com/content/article/pii/S2210670721002584,Optimal two-level active and reactive energy management of residential appliances in smart homes,Samaneh Zamanloo,Sustainable Cities and Society,71,2021-08-31,102972,10.1016/j.scs.2021.102972,False,S2210670721002584,"{'author': [{'$': 'Samaneh Zamanloo'}, {'$': 'Hossein Askarian Abyaneh'}, {'$': 'Mohsen Azizi'}]}",
6,true,2021-02-20T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2352186421000912'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2352186421000912?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.eti.2021.101443,https://api.elsevier.com/content/article/pii/S2352186421000912,Smart Home Energy Management Systems in Internet of Things networks for green cities demands and services,Muhammad Saidu Aliero,Environmental Technology & Innovation,22,2021-05-31,101443,10.1016/j.eti.2021.101443,False,S2352186421000912,"{'author': [{'$': 'Muhammad Saidu Aliero'}, {'$': 'Kashif Naseer Qureshi'}, {'$': 'Gwanggil Jeon'}]}",
7,true,2021-06-05T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2213138821002290'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2213138821002290?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.seta.2021.101219,https://api.elsevier.com/content/article/pii/S2213138821002290,Seamless security apprise method for improving the reliability of sustainable energy-based smart home applications,Mohammed Saeed Alkatheiri,Sustainable Energy Technologies and Assessments,45,2021-06-30,101219,10.1016/j.seta.2021.101219,False,S2213138821002290,"{'author': [{'$': 'Mohammed Saeed Alkatheiri'}, {'$': 'Sajjad Hussain Chauhdary'}, {'$': 'Mohammed A. Alqarni'}]}",
8,true,2020-11-07T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0038092X20311221'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0038092X20311221?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.solener.2020.10.063,https://api.elsevier.com/content/article/pii/S0038092X20311221,Home energy management in a residential smart micro grid under stochastic penetration of solar panels and electric vehicles,Masoud Alilou,Solar Energy,212,2020-12-31,6,10.1016/j.solener.2020.10.063,False,S0038092X20311221,"{'author': [{'$': 'Masoud Alilou'}, {'$': 'Behrouz Tousi'}, {'$': 'Hossein Shayeghi'}]}",18
9,true,2021-07-24T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2210537921000809'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2210537921000809?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.suscom.2021.100591,https://api.elsevier.com/content/article/pii/S2210537921000809,An ontology based energy management for smart home,Djamel Saba,Sustainable Computing: Informatics and Systems,31,2021-09-30,100591,10.1016/j.suscom.2021.100591,False,S2210537921000809,"{'author': [{'$': 'Djamel Saba'}, {'$': 'Youcef Sahli'}, {'$': 'Abdelkader Hadidi'}]}",
