,@_fa,load-date,link,dc:identifier,prism:url,dc:title,dc:creator,prism:publicationName,prism:volume,prism:coverDate,prism:startingPage,prism:endingPage,prism:doi,openaccess,pii,authors
0,true,2019-05-31T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0360544219310989'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0360544219310989?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.energy.2019.05.210,https://api.elsevier.com/content/article/pii/S0360544219310989,Do Spanish energy efficiency actions trigger JEVON’S paradox?,José M. Cansino,Energy,181,2019-08-15,760,770,10.1016/j.energy.2019.05.210,False,S0360544219310989,"{'author': [{'$': 'José M. Cansino'}, {'$': 'Rocío Román-Collado'}, {'$': 'José Merchán'}]}"
1,true,2009-01-19T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0301421508007428'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0301421508007428?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.enpol.2008.12.003,https://api.elsevier.com/content/article/pii/S0301421508007428,Jevons’ Paradox revisited: The evidence for backfire from improved energy efficiency,Steve Sorrell,Energy Policy,37,2009-04-30,1456,1469,10.1016/j.enpol.2008.12.003,False,S0301421508007428,{'author': 'Steve Sorrell'}
2,true,2018-02-03T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2214629618300616'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2214629618300616?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.erss.2018.01.007,https://api.elsevier.com/content/article/pii/S2214629618300616,Vehicle fuel economy and vehicle miles traveled: An empirical investigation of Jevon’s Paradox,Vinola Vincent Munyon,Energy Research & Social Science,38,2018-04-30,19,27,10.1016/j.erss.2018.01.007,False,S2214629618300616,"{'author': [{'$': 'Vinola Vincent Munyon'}, {'$': 'William M. Bowen'}, {'$': 'John Holcombe'}]}"
3,true,2021-06-10T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0165176521002329'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0165176521002329?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.econlet.2021.109955,https://api.elsevier.com/content/article/pii/S0165176521002329,Jevons’ paradox revisited: Implications for climate change,Navid Siami,Economics Letters,206,2021-09-30,109955,,10.1016/j.econlet.2021.109955,False,S0165176521002329,"{'author': [{'$': 'Navid Siami'}, {'$': 'Ralph A. Winter'}]}"
4,true,2021-01-05T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2214629620304680'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2214629620304680?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.erss.2020.101893,https://api.elsevier.com/content/article/pii/S2214629620304680,Governing Jevons’ Paradox: Policies and systemic alternatives to avoid the rebound effect,Jaume Freire-González,Energy Research & Social Science,72,2021-02-28,101893,,10.1016/j.erss.2020.101893,False,S2214629620304680,{'author': 'Jaume Freire-González'}
5,true,2011-12-22T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1476945X11000717'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1476945X11000717?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ecocom.2011.10.003,https://api.elsevier.com/content/article/pii/S1476945X11000717,An ecological economic interpretation of the Jevons effect,Nilton Bispo Amado,Ecological Complexity,9,2012-02-29,2,9,10.1016/j.ecocom.2011.10.003,False,S1476945X11000717,"{'author': [{'$': 'Nilton Bispo Amado'}, {'$': 'Ildo L. Sauer'}]}"
6,true,2020-05-26T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0378377419314751'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0378377419314751?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.agwat.2020.106163,https://api.elsevier.com/content/article/pii/S0378377419314751,The verification of Jevons’ paradox of agricultural Water conservation in Tianshan District of China based on Water footprint,Yanyun Wang,Agricultural Water Management,239,2020-09-01,106163,,10.1016/j.agwat.2020.106163,False,S0378377419314751,"{'author': [{'$': 'Yanyun Wang'}, {'$': 'Aihua Long'}, {'$': 'Yang Li'}]}"
7,true,2017-10-16T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0264837717307317'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0264837717307317?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.landusepol.2017.09.044,https://api.elsevier.com/content/article/pii/S0264837717307317,Jevons paradox and the loss of natural habitat in the Argentinean Chaco: The impact of the indigenous communities’ land titling and the Forest Law in the province of Salta,Michele Graziano Ceddia,Land Use Policy,69,2017-12-31,608,617,10.1016/j.landusepol.2017.09.044,False,S0264837717307317,"{'author': [{'$': 'Michele Graziano Ceddia'}, {'$': 'Elena Zepharovich'}]}"
8,true,2017-01-03T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0959652617300070'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0959652617300070?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.jclepro.2017.01.006,https://api.elsevier.com/content/article/pii/S0959652617300070,South Korean green growth and the Jevons paradox: An assessment with democratic and degrowth policy recommendations,Ryan Gunderson,Journal of Cleaner Production,144,2017-02-15,239,247,10.1016/j.jclepro.2017.01.006,False,S0959652617300070,"{'author': [{'$': 'Ryan Gunderson'}, {'$': 'Sun-Jin Yun'}]}"
9,true,2018-11-14T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0264837718316405'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0264837718316405?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.landusepol.2018.10.040,https://api.elsevier.com/content/article/pii/S0264837718316405,Corrigendum to “Jevons paradox and the loss of natural habitat in the Argentinean Chaco: The impact of indigenous communities’ land titling and the forest law in the province of Salta” [Land Use Policy 69 (2017) 608–617],Michele Graziano Ceddia,Land Use Policy,82,2019-03-31,854,,10.1016/j.landusepol.2018.10.040,False,S0264837718316405,"{'author': [{'$': 'Michele Graziano Ceddia'}, {'$': 'Elena Zepharovich'}]}"
