,@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,prism:eIssn,freetoread,freetoreadLabel,prism:issueIdentifier,prism:isbn,pubmed-id
0,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85119186667'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85119186667?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85119186667&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119186667&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0928765521000609'}]",https://api.elsevier.com/content/abstract/scopus_id/85119186667,SCOPUS_ID:85119186667,2-s2.0-85119186667,Empirical grid impact of in-home electric vehicle charging differs from predictions,Qiu Y.L.,Resource and Energy Economics,09287655,67,,2022-02-01,February 2022,10.1016/j.reseneeco.2021.101275,S0928765521000609,0,"[{'@_fa': 'true', 'affilname': 'University of Maryland, College Park', 'affiliation-city': 'College Park', 'affiliation-country': 'United States'}]",Journal,ar,Article,101275,27614,0,False,,,,,,
1,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85121116658'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85121116658?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85121116658&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85121116658&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0959652621040208'}]",https://api.elsevier.com/content/abstract/scopus_id/85121116658,SCOPUS_ID:85121116658,2-s2.0-85121116658,Agent-based modelling to simulate farmers’ sustainable decisions: Farmers’ interaction and resulting green consciousness evolution,Marvuglia A.,Journal of Cleaner Production,09596526,332,,2022-01-15,15 January 2022,10.1016/j.jclepro.2021.129847,S0959652621040208,0,"[{'@_fa': 'true', 'affilname': 'Luxembourg Institute of Science and Technology', 'affiliation-city': 'Esch-sur-Alzette', 'affiliation-country': 'Luxembourg'}]",Journal,ar,Article,129847,19167,1,True,,,,,,
2,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85119084737'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85119084737?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85119084737&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119084737&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2352550921002955'}]",https://api.elsevier.com/content/abstract/scopus_id/85119084737,SCOPUS_ID:85119084737,2-s2.0-85119084737,"Non-technological and behavioral options for decarbonizing buildings – A review of global topics, trends, gaps, and potentials",Mata ,Sustainable Production and Consumption,,29,529-545,2022-01-01,January 2022,10.1016/j.spc.2021.10.013,S2352550921002955,0,"[{'@_fa': 'true', 'affilname': 'IVL Svenska Miljoinstitutet', 'affiliation-city': 'Gothenburg', 'affiliation-country': 'Sweden'}]",Journal,re,Review,,21100416081,1,True,23525509,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",,,
3,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85112433038'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85112433038?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85112433038&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85112433038&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0360544221017655'}]",https://api.elsevier.com/content/abstract/scopus_id/85112433038,SCOPUS_ID:85112433038,2-s2.0-85112433038,Iterative sizing of solar-assisted mixed district heating network and local electrical grid integrating demand-side management,Gronier T.,Energy,03605442,238,,2022-01-01,1 January 2022,10.1016/j.energy.2021.121517,S0360544221017655,0,"[{'@_fa': 'true', 'affilname': ""Universite de Pau et des Pays de L'Adour"", 'affiliation-city': 'Pau', 'affiliation-country': 'France'}]",Journal,ar,Article,121517,29348,0,False,,,,,,
4,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85120430611'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85120430611?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120430611&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120430611&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85120430611,SCOPUS_ID:85120430611,2-s2.0-85120430611,How to encourage energy savings behaviours? The most effective incentives from the perspective of european consumers,Słupik S.,Energies,,14,,2021-12-01,December-1 2021,10.3390/en14238009,,0,"[{'@_fa': 'true', 'affilname': 'University of Economics in Katowice', 'affiliation-city': 'Katowice', 'affiliation-country': 'Poland'}]",Journal,ar,Article,8009,62932,1,True,19961073,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",23,,
5,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85101214098'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85101214098?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85101214098&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85101214098&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S2352154621000309'}]",https://api.elsevier.com/content/abstract/scopus_id/85101214098,SCOPUS_ID:85101214098,2-s2.0-85101214098,Consumer behavior and climate change: consumers need considerable assistance,Thøgersen J.,Current Opinion in Behavioral Sciences,,42,9-14,2021-12-01,December 2021,10.1016/j.cobeha.2021.02.008,S2352154621000309,5,"[{'@_fa': 'true', 'affilname': 'Aarhus Universitet', 'affiliation-city': 'Aarhus', 'affiliation-country': 'Denmark'}]",Journal,re,Review,,21100363813,1,True,23521546,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",,,
6,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85120678585'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85120678585?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85120678585&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85120678585&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85120678585,SCOPUS_ID:85120678585,2-s2.0-85120678585,Technologies and Practical Implementations of Air-conditioner Based Demand Response,Waseem M.,Journal of Modern Power Systems and Clean Energy,21965625,9,1395-1413,2021-11-01,1 November 2021,10.35833/MPCE.2019.000449,,6,"[{'@_fa': 'true', 'affilname': 'Zhejiang University', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}]",Journal,ar,Article,,21100420330,1,True,21965420,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}]}",6,,
7,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85119970141'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85119970141?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85119970141&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85119970141&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85119970141,SCOPUS_ID:85119970141,2-s2.0-85119970141,Machine learning techniques in the energy consumption of buildings: A systematic literature review using text mining and bibliometric analysis,Abdelaziz A.,Energies,,14,,2021-11-01,November-2 2021,10.3390/en14227810,,0,"[{'@_fa': 'true', 'affilname': 'NOVA Information Management School, Universidade Nova de Lisboa', 'affiliation-city': 'Lisboa', 'affiliation-country': 'Portugal'}, {'@_fa': 'true', 'affilname': 'Higher Technological Institute', 'affiliation-city': 'Tenth of Ramadan City', 'affiliation-country': 'Egypt'}]",Journal,ar,Article,7810,62932,1,True,19961073,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",22,,
8,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85118182956'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85118182956?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85118182956&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118182956&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0928765521000506'}]",https://api.elsevier.com/content/abstract/scopus_id/85118182956,SCOPUS_ID:85118182956,2-s2.0-85118182956,"Financing energy efficiency retrofits in Chilean households: The role of financial instruments, savings and uncertainty in energy transition",Schueftan A.,Resource and Energy Economics,09287655,66,,2021-11-01,November 2021,10.1016/j.reseneeco.2021.101265,S0928765521000506,0,"[{'@_fa': 'true', 'affilname': 'Instituto Forest Biblioteca', 'affiliation-city': 'Santiago', 'affiliation-country': 'Chile'}, {'@_fa': 'true', 'affilname': 'Universidad Austral de Chile', 'affiliation-city': 'Valdivia', 'affiliation-country': 'Chile'}]",Journal,ar,Article,101265,27614,0,False,,,,,,
9,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85115632929'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85115632929?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85115632929&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85115632929&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0959652621031577'}]",https://api.elsevier.com/content/abstract/scopus_id/85115632929,SCOPUS_ID:85115632929,2-s2.0-85115632929,Assessing the embodied carbon footprint of IoT edge devices with a bottom-up life-cycle approach,Pirson T.,Journal of Cleaner Production,09596526,322,,2021-11-01,1 November 2021,10.1016/j.jclepro.2021.128966,S0959652621031577,0,"[{'@_fa': 'true', 'affilname': 'Université Catholique de Louvain', 'affiliation-city': 'Louvain-la-Neuve', 'affiliation-country': 'Belgium'}]",Journal,ar,Article,128966,19167,0,False,,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,,
