,@_fa,load-date,link,dc:identifier,prism:url,dc:title,dc:creator,prism:publicationName,prism:volume,prism:coverDate,prism:startingPage,prism:endingPage,prism:doi,openaccess,pii,authors
0,true,2004-05-10T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0141813004000157'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0141813004000157?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ijbiomac.2004.03.008,https://api.elsevier.com/content/article/pii/S0141813004000157,Three-dimensional models and structure analysis of corynemycolyltransferases in <ce:italic>Corynebacterium glutamicum</ce:italic> and <ce:italic>Corynebacterium efficiens</ce:italic>,Swathi Adindla,International Journal of Biological Macromolecules,34,2004-06-30,181,189,10.1016/j.ijbiomac.2004.03.008,False,S0141813004000157,"{'author': [{'$': 'Swathi Adindla'}, {'$': 'Kunchur Guruprasad'}, {'$': 'Lalitha Guruprasad'}]}"
1,true,2003-09-03T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S037811190300653X'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S037811190300653X?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/S0378-1119(03)00653-X,https://api.elsevier.com/content/article/pii/S037811190300653X,The genome stability in <ce:italic>Corynebacterium</ce:italic> species due to lack of the recombinational repair system,Yoji Nakamura,Gene,317,2003-10-23,149,155,10.1016/S0378-1119(03)00653-X,False,S037811190300653X,"{'author': [{'$': 'Yoji Nakamura'}, {'$': 'Yousuke Nishio'}, {'$': 'Takashi Gojobori'}]}"
2,true,2004-11-10T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1096717604000758'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1096717604000758?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ymben.2004.10.001,https://api.elsevier.com/content/article/pii/S1096717604000758,Comparative study of flux redistribution of metabolic pathway in glutamate production by two coryneform bacteria,Tomokazu Shirai,Metabolic Engineering,7,2005-03-31,59,69,10.1016/j.ymben.2004.10.001,False,S1096717604000758,"{'author': [{'$': 'Tomokazu Shirai'}, {'$': 'Akinori Nakato'}, {'$': 'Hiroshi Shimizu'}]}"
3,true,2017-02-27T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0168165617300883'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0168165617300883?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.jbiotec.2017.02.025,https://api.elsevier.com/content/article/pii/S0168165617300883,Complete genome sequencing of newly isolated thermotolerant <ce:italic>Corynebacterium glutamicum</ce:italic> N24 provides a new insights into its thermotolerant phenotype,Minenosuke Matsutani,Journal of Biotechnology,247,2017-04-10,29,33,10.1016/j.jbiotec.2017.02.025,False,S0168165617300883,"{'author': [{'$': 'Minenosuke Matsutani'}, {'$': 'Nawarat Nantapong'}, {'$': 'Kazunobu Matsushita'}]}"
4,true,2006-12-22T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1389172306706843'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1389172306706843?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1263/jbb.102.413,https://api.elsevier.com/content/article/pii/S1389172306706843,Precise metabolic flux analysis of coryneform bacteria by gas chromatography–mass spectrometry and verification by nuclear magnetic resonance,Tomokazu Shirai,Journal of Bioscience and Bioengineering,102,2006-11-30,413,424,10.1263/jbb.102.413,False,S1389172306706843,"{'author': [{'$': 'Tomokazu Shirai'}, {'$': 'Kunihiro Matsuzaki'}, {'$': 'Hiroshi Shimizu'}]}"
5,true,2021-06-15T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2210650221000882'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2210650221000882?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.swevo.2021.100927,https://api.elsevier.com/content/article/pii/S2210650221000882,Memetic search for vehicle routing with simultaneous pickup-delivery and time windows,Shengcai Liu,Swarm and Evolutionary Computation,66,2021-10-31,100927,,10.1016/j.swevo.2021.100927,False,S2210650221000882,"{'author': [{'$': 'Shengcai Liu'}, {'$': 'Ke Tang'}, {'$': 'Xin Yao'}]}"
6,true,2003-06-28T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0168644503000676'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0168644503000676?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/S0168-6445(03)00067-6,https://api.elsevier.com/content/article/pii/S0168644503000676,Ammonium assimilation and nitrogen control in <ce:italic>Corynebacterium glutamicum</ce:italic> and its relatives: an example for new regulatory mechanisms in actinomycetes,Andreas Burkovski,FEMS Microbiology Reviews,27,2003-12-31,617,628,10.1016/S0168-6445(03)00067-6,False,S0168644503000676,{'author': 'Andreas Burkovski'}
7,true,2021-06-24T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0006497119883076'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0006497119883076?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1182/blood.V110.11.2059.2059,https://api.elsevier.com/content/article/pii/S0006497119883076,Generation of alpha-Type-1 Polarized Dendritic Cells as a Potent Immunogen in Patients with Chronic Lymphocytic Leukemia.,Je-Jung Lee,Blood,110,2007-11-16,2059,,10.1182/blood.V110.11.2059.2059,True,S0006497119883076,"{'author': [{'$': 'Je-Jung Lee'}, {'$': 'Robbie Mailliard'}, {'$': 'Pawel Kalinski'}]}"
8,true,2021-01-12T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1544612321000131'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1544612321000131?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.frl.2021.101932,https://api.elsevier.com/content/article/pii/S1544612321000131,Sustainable banking: A literature review and integrative framework,Elisa Aracil,Finance Research Letters,42,2021-10-31,101932,,10.1016/j.frl.2021.101932,True,S1544612321000131,"{'author': [{'$': 'Elisa Aracil'}, {'$': 'Juan-José Nájera-Sánchez'}, {'$': 'Francisco Javier Forcadell'}]}"
9,true,2021-03-23T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S095816692100046X'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S095816692100046X?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.copbio.2021.03.003,https://api.elsevier.com/content/article/pii/S095816692100046X,Modeling the energy metabolism in immune cells,Stefan Schuster,Current Opinion in Biotechnology,68,2021-04-30,282,291,10.1016/j.copbio.2021.03.003,False,S095816692100046X,"{'author': [{'$': 'Stefan Schuster'}, {'$': 'Jan Ewald'}, {'$': 'Christoph Kaleta'}]}"
