,@_fa,load-date,link,dc:identifier,prism:url,dc:title,dc:creator,prism:publicationName,prism:coverDate,prism:doi,openaccess,pii,authors,prism:volume,prism:startingPage,prism:endingPage
0,true,2021-01-28T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/B978012819723300038X'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/B978012819723300038X?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/B978-0-12-819723-3.00038-X,https://api.elsevier.com/content/article/pii/B978012819723300038X,Supercapacitor: Evolution and Potential in Energy-Related Applications,Pin Jern Ker,Reference Module in Earth Systems and Environmental Sciences,2021-12-31,10.1016/B978-0-12-819723-3.00038-X,False,B978012819723300038X,"{'author': [{'$': 'Pin Jern Ker'}, {'$': 'Ahmed Ibrahim Ahmed Mohammed'}, {'$': 'Sieh Kiong Tiong'}]}",,,
1,true,2020-11-24T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0196890420310074'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0196890420310074?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.enconman.2020.113475,https://api.elsevier.com/content/article/pii/S0196890420310074,Development and analysis of a polygenerational smart energy hub for sustainable communities,Ghassan Chehade,Energy Conversion and Management,2020-12-15,10.1016/j.enconman.2020.113475,False,S0196890420310074,"{'author': [{'$': 'Ghassan Chehade'}, {'$': 'Ibrahim Dincer'}]}",226,113475,
2,true,2020-05-11T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0196890420303654'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0196890420303654?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.enconman.2020.112827,https://api.elsevier.com/content/article/pii/S0196890420303654,Mechanism and experimental validation of a thermochemical energy conversion process by utilization of biogas chemical energy,Bosheng Su,Energy Conversion and Management,2020-06-15,10.1016/j.enconman.2020.112827,False,S0196890420303654,"{'author': [{'$': 'Bosheng Su'}, {'$': 'Wei Han'}, {'$': 'Xiaodong Zhang'}]}",214,112827,
3,true,2020-08-18T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0142061519328777'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0142061519328777?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ijepes.2020.106397,https://api.elsevier.com/content/article/pii/S0142061519328777,A bi-level model for optimal bidding of a multi-carrier technical virtual power plant in energy markets,Mehdi Foroughi,International Journal of Electrical Power & Energy Systems,2021-02-28,10.1016/j.ijepes.2020.106397,False,S0142061519328777,"{'author': [{'$': 'Mehdi Foroughi'}, {'$': 'Ali Pasban'}, {'$': 'Amir Fayaz-Heidari'}]}",125,106397,
4,true,2020-06-26T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0301421520303797'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0301421520303797?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.enpol.2020.111646,https://api.elsevier.com/content/article/pii/S0301421520303797,Investment screening: Implications for the energy sector and energy security,Mikko Rajavuori,Energy Policy,2020-09-30,10.1016/j.enpol.2020.111646,True,S0301421520303797,"{'author': [{'$': 'Mikko Rajavuori'}, {'$': 'Kaisa Huhta'}]}",144,111646,
5,true,2020-09-14T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S001021802030359X'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S001021802030359X?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.combustflame.2020.08.036,https://api.elsevier.com/content/article/pii/S001021802030359X,Effect of 2-step energy release on direct detonation initiation by a point energy source in a rich H<ce:inf loc=post>2</ce:inf>–NO<ce:inf loc=post>2</ce:inf>/N<ce:inf loc=post>2</ce:inf>O<ce:inf loc=post>4</ce:inf> mixture,Mahdi Faghih,Combustion and Flame,2020-12-31,10.1016/j.combustflame.2020.08.036,False,S001021802030359X,"{'author': [{'$': 'Mahdi Faghih'}, {'$': 'Rémy Mével'}, {'$': 'Zheng Chen'}]}",222,317,325
6,true,2020-11-16T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0196890420311316'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0196890420311316?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.enconman.2020.113603,https://api.elsevier.com/content/article/pii/S0196890420311316,"Energy, exergy and environmental-based design and multiobjective optimization of a novel solar-driven multi-generation system",Mert Colakoglu,Energy Conversion and Management,2021-01-01,10.1016/j.enconman.2020.113603,False,S0196890420311316,"{'author': [{'$': 'Mert Colakoglu'}, {'$': 'Ahmet Durmayaz'}]}",227,113603,
7,true,2019-12-18T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0038092X19312447'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0038092X19312447?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.solener.2019.12.030,https://api.elsevier.com/content/article/pii/S0038092X19312447,Thermal performance and energy characteristic analysis of multiple renewable energy complementary heat pump system,Zhang Dong,Solar Energy,2020-01-15,10.1016/j.solener.2019.12.030,False,S0038092X19312447,"{'author': [{'$': 'Zhang Dong'}, {'$': 'Li Bingyang'}, {'$': 'Li Jinping'}]}",196,287,294
8,true,2020-08-22T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0011916420300266'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0011916420300266?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.desal.2020.114541,https://api.elsevier.com/content/article/pii/S0011916420300266,Experimental investigation on dye wastewater treatment with reverse electrodialysis reactor powered by salinity gradient energy,Xu Shiming,Desalination,2020-12-01,10.1016/j.desal.2020.114541,False,S0011916420300266,"{'author': [{'$': 'Xu Shiming'}, {'$': 'Leng Qiang'}, {'$': 'Dong Fujiang'}]}",495,114541,
9,true,2020-04-19T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0360544220307593'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0360544220307593?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.energy.2020.117652,https://api.elsevier.com/content/article/pii/S0360544220307593,Analyzing the effects of uncertainties on the modelling of low-carbon energy system pathways,Sannamari Pilpola,Energy,2020-06-15,10.1016/j.energy.2020.117652,False,S0360544220307593,"{'author': [{'$': 'Sannamari Pilpola'}, {'$': 'Peter D. Lund'}]}",201,117652,
