,@_fa,load-date,link,dc:identifier,prism:url,dc:title,dc:creator,prism:publicationName,prism:volume,prism:coverDate,prism:startingPage,prism:endingPage,prism:doi,openaccess,pii,authors
0,true,2004-05-10T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0141813004000157'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0141813004000157?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ijbiomac.2004.03.008,https://api.elsevier.com/content/article/pii/S0141813004000157,Three-dimensional models and structure analysis of corynemycolyltransferases in <ce:italic>Corynebacterium glutamicum</ce:italic> and <ce:italic>Corynebacterium efficiens</ce:italic>,Swathi Adindla,International Journal of Biological Macromolecules,34,2004-06-30,181,189,10.1016/j.ijbiomac.2004.03.008,False,S0141813004000157,"{'author': [{'$': 'Swathi Adindla'}, {'$': 'Kunchur Guruprasad'}, {'$': 'Lalitha Guruprasad'}]}"
1,true,2021-03-23T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S095816692100046X'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S095816692100046X?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.copbio.2021.03.003,https://api.elsevier.com/content/article/pii/S095816692100046X,Modeling the energy metabolism in immune cells,Stefan Schuster,Current Opinion in Biotechnology,68,2021-04-30,282,291,10.1016/j.copbio.2021.03.003,False,S095816692100046X,"{'author': [{'$': 'Stefan Schuster'}, {'$': 'Jan Ewald'}, {'$': 'Christoph Kaleta'}]}"
2,true,2021-05-25T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2214629621001766'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2214629621001766?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.erss.2021.102083,https://api.elsevier.com/content/article/pii/S2214629621001766,Is clean energy contested? Exploring which issues matter to stakeholders in the European Green Deal,Marc Ringel,Energy Research & Social Science,77,2021-07-31,102083,,10.1016/j.erss.2021.102083,True,S2214629621001766,"{'author': [{'$': 'Marc Ringel'}, {'$': 'Nils Bruch'}, {'$': 'Michèle Knodt'}]}"
3,true,2004-11-10T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1096717604000758'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1096717604000758?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ymben.2004.10.001,https://api.elsevier.com/content/article/pii/S1096717604000758,Comparative study of flux redistribution of metabolic pathway in glutamate production by two coryneform bacteria,Tomokazu Shirai,Metabolic Engineering,7,2005-03-31,59,69,10.1016/j.ymben.2004.10.001,False,S1096717604000758,"{'author': [{'$': 'Tomokazu Shirai'}, {'$': 'Akinori Nakato'}, {'$': 'Hiroshi Shimizu'}]}"
4,true,2006-12-22T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S1389172306706843'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S1389172306706843?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1263/jbb.102.413,https://api.elsevier.com/content/article/pii/S1389172306706843,Precise metabolic flux analysis of coryneform bacteria by gas chromatography–mass spectrometry and verification by nuclear magnetic resonance,Tomokazu Shirai,Journal of Bioscience and Bioengineering,102,2006-11-30,413,424,10.1263/jbb.102.413,False,S1389172306706843,"{'author': [{'$': 'Tomokazu Shirai'}, {'$': 'Kunihiro Matsuzaki'}, {'$': 'Hiroshi Shimizu'}]}"
5,true,2021-04-09T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0959652621012609'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0959652621012609?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.jclepro.2021.127041,https://api.elsevier.com/content/article/pii/S0959652621012609,Systematic review: Landlords’ willingness to retrofit energy efficiency improvements,Michaela Lang,Journal of Cleaner Production,303,2021-06-20,127041,,10.1016/j.jclepro.2021.127041,False,S0959652621012609,"{'author': [{'$': 'Michaela Lang'}, {'$': 'Ruth Lane'}, {'$': 'Rob Raven'}]}"
6,true,2021-04-14T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2405896320304031'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2405896320304031?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.ifacol.2020.12.145,https://api.elsevier.com/content/article/pii/S2405896320304031,An optimization methodology for self-consumption of residential photovoltaic energy,Loris Amabile,IFAC-PapersOnLine,53,2020-12-31,13196,13203,10.1016/j.ifacol.2020.12.145,False,S2405896320304031,"{'author': [{'$': 'Loris Amabile'}, {'$': 'Delphine Bresch-Pietri'}, {'$': 'Nicolas Petit'}]}"
7,true,2021-05-05T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0959652621016061'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0959652621016061?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.jclepro.2021.127387,https://api.elsevier.com/content/article/pii/S0959652621016061,Could focusing on barriers to industrial energy efficiency create a new barrier to energy efficiency?,Kelly M. Smith,Journal of Cleaner Production,310,2021-08-10,127387,,10.1016/j.jclepro.2021.127387,False,S0959652621016061,"{'author': [{'$': 'Kelly M. Smith'}, {'$': 'Stephen Wilson'}, {'$': 'Maureen E. Hassall'}]}"
8,true,2019-09-05T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0959652619331464'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0959652619331464?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.jclepro.2019.118276,https://api.elsevier.com/content/article/pii/S0959652619331464,Energy efficiency of manufacturing systems: A review of energy assessment methods and tools,Roberto Menghi,Journal of Cleaner Production,240,2019-12-10,118276,,10.1016/j.jclepro.2019.118276,False,S0959652619331464,"{'author': [{'$': 'Roberto Menghi'}, {'$': 'Alessandra Papetti'}, {'$': 'Marco Marconi'}]}"
9,true,2021-03-02T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S235214652100288X'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S235214652100288X?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.trpro.2021.02.114,https://api.elsevier.com/content/article/pii/S235214652100288X,Digital Logistics Approach to Energy Service Socio-economic Mechanisms,Sergey Barykin,Transportation Research Procedia,54,2021-12-31,617,627,10.1016/j.trpro.2021.02.114,True,S235214652100288X,"{'author': [{'$': 'Sergey Barykin'}, {'$': 'Irina Kapustina'}, {'$': 'Vladimir Yadykin'}]}"
