,@_fa,load-date,link,dc:identifier,prism:url,dc:title,dc:creator,prism:publicationName,prism:volume,prism:coverDate,prism:startingPage,prism:doi,openaccess,pii,authors,prism:endingPage
0,true,2021-11-29T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0360544221030231'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0360544221030231?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.energy.2021.122774,https://api.elsevier.com/content/article/pii/S0360544221030231,Power demand response in the context of smart home application,Biying Yu,Energy,240,2022-02-01,122774,10.1016/j.energy.2021.122774,False,S0360544221030231,"{'author': [{'$': 'Biying Yu'}, {'$': 'Feihu Sun'}, {'$': 'Lin Hu'}]}",
1,true,2021-10-19T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S004579062100481X'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S004579062100481X?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.compeleceng.2021.107536,https://api.elsevier.com/content/article/pii/S004579062100481X,Three-layer hybrid intrusion detection model for smart home malicious attacks,Lingyun Shi,Computers & Electrical Engineering,96,2021-12-31,107536,10.1016/j.compeleceng.2021.107536,False,S004579062100481X,"{'author': [{'$': 'Lingyun Shi'}, {'$': 'Longfei Wu'}, {'$': 'Zhitao Guan'}]}",
2,true,2021-11-11T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0160791X21002839'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0160791X21002839?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.techsoc.2021.101808,https://api.elsevier.com/content/article/pii/S0160791X21002839,Smart but unfriendly: Connected home products as enablers of conflict,D. D. Furszyfer Del Rio,Technology in Society,68,2022-02-28,101808,10.1016/j.techsoc.2021.101808,False,S0160791X21002839,{'author': 'D. D. Furszyfer Del Rio'},
3,true,2021-07-30T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S016740482100242X'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S016740482100242X?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.cose.2021.102418,https://api.elsevier.com/content/article/pii/S016740482100242X,Cyber-enabled burglary of smart homes,Duncan Hodges,Computers & Security,110,2021-11-30,102418,10.1016/j.cose.2021.102418,False,S016740482100242X,{'author': 'Duncan Hodges'},
4,true,2021-09-08T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S266729522100026X'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S266729522100026X?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.hcc.2021.100036,https://api.elsevier.com/content/article/pii/S266729522100026X,Access control and surveillance in a smart home,Cristina Stolojescu-Crisan,High-Confidence Computing,2,2022-03-31,100036,10.1016/j.hcc.2021.100036,True,S266729522100026X,"{'author': [{'$': 'Cristina Stolojescu-Crisan'}, {'$': 'Calin Crisan'}, {'$': 'Bogdan-Petru Butunoi'}]}",
5,true,2021-12-08T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S004579062100567X'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S004579062100567X?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.compeleceng.2021.107641,https://api.elsevier.com/content/article/pii/S004579062100567X,Trust aware energy management system for smart homes appliances,Kashif Naseer Qureshi,Computers & Electrical Engineering,,2021-12-08,107641,10.1016/j.compeleceng.2021.107641,False,S004579062100567X,"{'author': [{'$': 'Kashif Naseer Qureshi'}, {'$': 'Adi Alhudhaif'}, {'$': 'Gwanggil Jeon'}]}",
6,true,2021-07-28T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0736585321001283'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0736585321001283?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.tele.2021.101689,https://api.elsevier.com/content/article/pii/S0736585321001283,Users’ Preferences for Smart Home Automation – Investigating Aspects of Privacy and Trust,Eva-Maria Schomakers,Telematics and Informatics,64,2021-11-30,101689,10.1016/j.tele.2021.101689,False,S0736585321001283,"{'author': [{'$': 'Eva-Maria Schomakers'}, {'$': 'Hannah Biermann'}, {'$': 'Martina Ziefle'}]}",
7,true,2021-07-22T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2214629621003042'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2214629621003042?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.erss.2021.102211,https://api.elsevier.com/content/article/pii/S2214629621003042,"Motivations, barriers and risks of smart home adoption: From systematic literature review to conceptual framework",Wenda Li,Energy Research & Social Science,80,2021-10-31,102211,10.1016/j.erss.2021.102211,False,S2214629621003042,"{'author': [{'$': 'Wenda Li'}, {'$': 'Tan Yigitcanlar'}, {'$': 'Aaron Liu'}]}",
8,true,2021-11-03T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S0925231221016301'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S0925231221016301?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.neucom.2021.04.138,https://api.elsevier.com/content/article/pii/S0925231221016301,Enabling automation and edge intelligence over resource constraint IoT devices for smart home,Mansoor Nasir,Neurocomputing,,2021-11-03,,10.1016/j.neucom.2021.04.138,False,S0925231221016301,"{'author': [{'$': 'Mansoor Nasir'}, {'$': 'Khan Muhammad'}, {'$': 'Muhammad Sajjad'}]}",
9,true,2021-12-06T00:00:00.000Z,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/article/pii/S2352484721013792'}, {'@_fa': 'true', '@ref': 'scidir', '@href': 'https://www.sciencedirect.com/science/article/pii/S2352484721013792?dgcid=api_sd_search-api-endpoint'}]",DOI:10.1016/j.egyr.2021.11.227,https://api.elsevier.com/content/article/pii/S2352484721013792,Mixed integer smart off-grid home energy management system,Rasha Elazab,Energy Reports,7,2021-11-30,9094,10.1016/j.egyr.2021.11.227,True,S2352484721013792,"{'author': [{'$': 'Rasha Elazab'}, {'$': 'Omar Saif'}, {'$': 'Mohamed Daowd'}]}",9107
